class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right,ankle_left,ankle_right
200,66,70,68,70,145,153,125,118,155,159
201,107,108,109,115,165,155,103,108,122,123
202,109,118,140,143,148,151,129,130,144,126
203,97,94,99,96,146,144,131,120,142,126
204,65,76,61,71,149,142,121,122,146,140
205,17,6,70,25,132,135,141,134,145,136
206,113,105,113,113,168,169,101,99,127,111
207,110,125,110,133,135,131,144,122,154,128
208,104,96,101,94,151,141,118,126,133,136
209,103,101,101,105,161,158,88,85,93,92
210,69,73,92,100,137,139,136,136,155,158
211,169,169,176,177,153,150,114,118,133,133
212,110,125,110,133,135,131,144,122,154,128
213,104,96,101,94,151,141,118,126,133,136
214,103,101,101,105,161,158,88,85,93,92
215,69,73,92,100,137,139,136,136,155,158
216,93,96,92,81,161,156,103,109,103,102
217,65,76,61,71,149,142,121,122,147,139
218,92,98,91,89,163,163,107,104,125,126
219,169,169,176,177,153,150,114,118,133,133
220,90,99,101,110,143,141,128,135,134,136
221,102,108,107,116,162,154,106,119,135,134
222,105,106,108,100,148,149,114,109,108,104
223,88,90,90,96,178,175,69,71,127,131
224,69,69,177,178,120,59,178,177,95,99
225,109,100,175,178,164,136,103,177,127,163
226,102,91,168,169,160,131,114,177,114,128
227,86,97,175,168,133,179,177,99,157,112
228,86,101,178,177,146,172,179,92,175,114
229,93,92,178,175,158,138,111,171,120,149
230,93,103,177,176,130,151,179,117,145,116
231,101,103,178,180,149,170,178,97,122,113
232,103,83,179,176,170,134,99,180,117,151
233,80,107,178,174,131,164,180,108,159,117
234,105,104,171,174,144,160,171,109,175,116
235,100,102,177,171,145,166,178,99,169,113
236,108,92,176,177,169,134,103,167,125,161
237,106,95,175,177,160,128,121,178,120,176
238,109,108,180,180,147,133,110,177,107,158
239,101,94,178,176,165,133,112,174,123,153
240,95,102,176,173,138,167,178,98,160,113
241,73,115,176,177,120,135,174,111,157,86
242,77,92,179,178,131,153,169,115,172,118
243,93,88,176,176,173,145,96,180,127,162
244,90,95,175,173,140,163,170,102,152,116
245,91,93,163,171,121,142,179,138,150,171
246,95,98,178,178,165,141,100,172,114,145
247,113,102,175,180,143,154,173,104,142,122
248,102,86,178,176,177,148,85,165,121,107
249,102,101,175,180,142,161,178,109,133,114
250,39,100,171,173,176,148,99,174,123,113
251,90,100,178,167,140,179,171,109,163,128
252,93,96,174,171,146,163,176,100,155,116
253,80,95,169,170,145,160,177,101,141,118
254,99,108,176,176,145,134,127,173,126,170
255,107,107,177,176,140,160,169,102,140,112
256,98,100,179,178,140,155,177,110,156,118
257,102,92,180,176,156,138,127,179,130,134
258,101,93,180,178,163,143,104,179,119,141
259,107,118,175,172,133,119,145,174,131,145
260,88,107,176,178,135,174,174,100,164,125
261,105,98,168,176,169,138,97,180,124,167
262,103,99,175,168,167,141,105,170,122,159
263,93,93,169,179,140,160,179,111,147,114
264,95,98,175,174,157,138,126,180,122,162
265,94,83,170,175,171,141,97,176,118,139
266,96,100,180,173,136,158,177,114,109,112
267,146,162,162,167,89,152,176,31,167,155
268,55,28,37,47,87,152,172,24,160,127
269,172,176,162,160,99,128,179,38,176,103
270,165,170,145,143,92,150,171,24,170,125
271,174,167,140,157,150,84,22,175,125,161
272,38,35,54,48,94,135,177,27,178,107
273,179,176,163,167,121,105,43,178,122,161
274,25,27,52,55,132,100,38,179,115,179
275,164,158,100,106,96,141,3,33,29,105
276,21,14,43,44,96,111,179,29,174,81
277,177,174,146,155,148,88,23,175,142,157
278,35,19,45,39,87,149,179,23,157,120
279,43,21,33,40,88,143,180,20,140,127
280,177,172,169,174,112,105,28,180,109,176
281,163,136,71,70,86,147,177,44,175,139
282,25,20,34,32,110,109,176,57,179,116
283,176,178,141,154,88,148,178,45,170,122
284,25,20,39,44,107,111,176,44,179,98
285,57,42,40,46,85,151,176,55,153,136
286,25,20,39,44,107,111,176,44,179,98
287,159,180,174,164,82,155,180,17,175,122
288,155,177,169,159,85,156,177,23,148,128
289,177,174,146,155,148,88,23,175,142,157
290,21,14,43,44,96,111,179,29,174,81
291,177,172,169,174,112,105,28,180,109,176
292,12,8,22,23,96,118,177,35,179,90
293,177,175,158,154,93,125,178,34,174,86
294,57,45,44,46,79,153,170,21,178,128
295,172,167,165,162,140,92,26,178,133,144
296,173,160,133,124,86,146,179,21,169,109
297,155,177,169,159,85,156,177,23,148,128
298,23,45,41,35,157,95,20,165,138,159
299,60,50,46,49,90,151,165,18,154,118
300,38,30,52,50,97,136,178,64,168,138
301,160,180,173,163,82,155,179,17,173,130
302,40,47,54,49,141,87,29,174,113,168
303,12,15,24,28,124,99,38,177,101,175
304,166,148,82,74,168,74,20,178,155,165
305,173,152,109,112,92,162,179,42,173,172
306,10,18,38,43,114,101,37,180,90,170
307,177,173,129,124,150,91,20,175,151,160
308,172,180,147,157,87,155,173,25,134,106
309,63,51,30,29,85,152,176,24,171,140
310,23,16,41,37,86,119,178,26,172,102
311,168,155,98,95,82,154,176,39,133,128
312,173,176,161,160,98,128,180,43,178,111
313,24,15,50,45,81,132,178,26,174,121
314,175,171,157,158,145,89,17,169,144,161
315,23,32,46,43,152,88,27,176,120,174
316,178,170,149,150,99,109,178,88,179,128
317,178,174,132,139,87,153,176,29,175,137
318,177,178,140,134,143,90,14,174,134,166
319,171,165,161,168,149,86,22,178,124,172
320,27,31,51,59,136,98,36,179,122,179
321,173,160,133,124,86,146,179,21,169,109
322,161,168,112,111,149,91,22,172,143,144
323,14,12,30,30,99,113,179,29,175,84
324,23,22,56,52,112,100,48,174,103,172
325,114,93,171,175,141,98,136,179,147,177
326,102,113,173,175,147,162,178,106,168,137
327,104,109,174,167,142,160,175,107,155,131
328,110,87,173,174,177,145,96,178,135,180
329,86,76,178,176,139,122,132,174,117,149
330,101,124,156,173,151,157,174,113,121,120
331,99,89,166,163,137,143,173,118,154,124
332,65,101,160,157,117,175,178,110,147,126
333,95,96,165,173,140,164,174,101,168,121
334,107,93,178,176,155,112,118,179,135,172
335,98,97,172,173,119,153,174,128,138,123
336,112,92,175,167,178,125,98,169,126,150
337,99,97,167,172,143,161,177,106,152,124
338,99,97,167,172,143,161,177,106,152,124
339,21,22,70,70,135,153,179,114,169,130
340,105,93,179,179,156,129,112,175,130,165
